Rating,Title,Text
1.0,"Good thermostat, but not ready for primetime yet (Updated)","  UPDATE 12/27/21: After a month it would fail to turn on the outside unit of my heat pump, only the inside unit, despite audibly clicking twice, and the Alexa app would say ""Delayed start"", as if it were on a cooldown timer, which the unit was not. This would happen both on scheduled times of temperature change and when manually changing it. Turning the breaker off and on would resolve the issue for a few hours before it would reappear. I ordered a replacement unit thinking that was the problem, but it did the same thing. I put my old ""dumb"" digital thermostat, the Lux TX9100E, for which there is a newer version (Amazon ID B00CX2QA3Y), back on and I haven't had a problem since.Changed star rating to 1 and will say to avoid this thermostat, it's not worth potentially risking damage to your system, especially when all of the issues mentioned in my original review were not addressed before the much larger issue occurred.-----------------------------------------------------------ORIGINAL REVIEW:This review pertains to the unit with Device Software Version 16843520 and Manufacturer Software Version 16844544.This is my first venture into a smart thermostat. I've wanted a Nest or one from Honeywell for a while, but their high price tags put me off. Enter the $60 Amazon Smart Thermostat. Installation was fairly easy, I say fairly because since the thermostat is small, the wiring can get cramped. The optional included backplate is quite large, which is a GOOD THING in my case as it easily covered several holes from previous thermostats. Connecting it to Alexa is also easy, just tell it to discover devices and it proceeds smoothly.There are a few negatives though. I waited 10 days to write this review hoping they would release an update that would fix them, but so far they have not.1) It has issue reconnecting to the network after a power loss. I had to pull it off the wall (it clips on to the mounting bracket) and put it back on to get it to reconnect after a few seconds long power failure today due to storms. My router is connected to a battery backup so it never lost power.2) The scheduling is very basic. You can only set 4 fixed temperature types (Work, Home, Away, Asleep) and assign them to certain times, and you can't adjust them differently. For example, you can't set 5AM and 5PM as ""at home"" and set the 5AM to 65°F and the 5PM one to 68°F, they both have to be the same. Also, as of this review anything you put in the Heat and Cool choices is changed by whatever you put in the Auto section, so it's only really possible to use it with Auto.3) Voice commands don't work well, or at all. When you say ""Alexa, what's the inside temperature"", it will often say ""Thermostat does not support this function"" when it does, same goes with humidity. Also when you say ""Alexa, raise the temperature by 2 degrees"", it may not work correctly, the last time I did that I wanted to raise it from 66°F to 68°F and the air conditioning came on because it had set the temperature to 64°F. There are also functions which are unable to (yet) be controlled with voice commands, such as turning the fan from Auto to On or Circulate, you have to use the Alexa app to do it.4) The display. Currently it will cycle between the Active and Inactive brightness at random, even when there is nobody and no sound in the room.5) This is a critical bug. About half the time when the heat is engaged it will also use supplementary heat (I have an electric heat pump with electric aux heat), even if the temperature outside is above 50°F, and it is just coming on to maintain temperature and been raised multiple degrees manually. Disconnecting the W2 wire fixes this, but also disables auxiliary and supplemental heat completely.6) There is no display for auxiliary heat in use on the thermostat nor in the Alexa app. Considering aux heat, especially on electric heat pumps, uses a large amount of energy, there should be some kind of display or, preferably, a popup notification."
1.0,I can't believe this is an Amazon product.  It's unbelievably un-smart!,"  I was so excited to hear that Amazon was releasing this product I preordered three of them.  I can't get any of them to connect to wifi.  All I can get it to do is say ""SEt"".  It refuses to connect to wifi after about eight hours of trying, power cycling, resetting, rebooting my phone, reinstalling the Alexa app, and all the crazy things support told me to do.  Talking with support was like torture, they copied the text from the manual three times and wouldn't address the issue only attempting basic support techniques.  Turning things off and on about a dozen times seems to be the apex of their technical support.  Don't get me wrong sometimes that works, except when it doesn't.  One support person told me I needed to install a Honeywell skill to make it work and select this Thermostat as a device, but I can't find it anywhere in the Honeywell App.Oh, Honeywell. I wish I had paid closer attention that they were involved in this.  I had a Honeywell ""Smart"" Thermostat once and I swore never to buy one of their products again.  A wireless thermostat that can't connect to wireless is what I would expect from a company like Honeywell (not Amazon until now).  Honeywell may know HVAC, but their website seems archaic and they seem stuck in decades-old ways of thinking when it comes to advanced technology like wireless.After spending so many hours, I think I will run down to my home improvement store and get a real thermostat so I can get the heat back on.  It seems so long ago that I thought this was going to be a fun quick project to kick off the weekend.  I am beside myself at just how awful support was.  It was the worst support I've ever received from any company and usually, my experiences with Amazon support have been great.  I was not expecting to run into any roadblocks.  I've installed lots of other Smart thermostats.  I thought this would be one of my simplest installs but if I did have issues, I was expecting Amazon support to have my back and they didn't.  They don't even seem to know that this is an Amazon product."
5.0,Simple yet elegant,"  Been holding off on smart thermostats until I couldn't say no anymore, and at $60, I couldn't say no anymore.Title says it all - they are simple, elegant, low profile, and easy to hook up. They are Amazon branded Honeywell's so they are definitely quality built.Install took me about 30 min each (none of my thermostats/furnaces had the c-wire hooked up so I had to do it myself - thank goodness the wires were there though). The app has step by step instructions, but really you just need to take a pic of your current thermostat's wiring.Pros:-Amazing value for what you get ($60 compared to $250 Nest)-Save money on utility bills (Smart thermostat)-Control with Alexa voice or Alexa app (works flawlessly and already integrated - no skill required for the app)-Control house temp remotely (very useful for vacations or when you're out)-Easy install (minus the c-wire)-Wife loves them!Cons:-None yet, but will update if I run acrossMake sure you don't sign up for the eco utility bill discount, unless you want your local power company adjusting your temp whenever they feel like it."
5.0,Amazing Thermostat for the price,
4.0,Great Device!-Setup instructions poor. Alexa said I couldn’t do it. She was wrong!,"  I’m loving this so far, but it almost went back. Alexa’s setup instructions are poorly done. After a big investment in time, parts, wires, waiting, and labor Alexa tells me this will only work on four types of furnaces and mine was not one of them. So Alexa was of no help with wiring my Rinaii Direct Vent EX38CT propane furnace. I had already bought a $70 remote thermostat wiring kit and 24 volt AC transformer so I was determined to make it work. Amazon seemed to indicate that I needed a Honeywell C-Wire adapter kit with this so I ordered one which was of no help at all. What I needed to supply voltage to the smart thermostat was a common 24V transformer often used in doorbell and Ring doorbell applications. And a little guidance to how that would be wired which I found online. Rinaii’s Youtube installation video on the remote thermostat was horrible. I destroyed the first transformer which wasn’t easy. Luckily I had another (about $18 on Amazon) and with the diagram shown I was able to complete the install. And YES it will work great on Rinaii’s with their remote kit which provides two black wires. Basically one of the black wires (no matter which one) hooks to the white wire which goes to the thermostat terminal “W”. The other black went to my common blue wire which tee’d to the thermostat “C” terminal and one of the “AC” terminals on the transformer (doesn’t matter which one). The red wire went from the other “AC” transformer terminal to the “R” on the thermostat. I am installing this on two direct vent rinaii’s which have never controlled temperature well with a little bulb sensor hooked directly to the heater. Now the heaters cycle and modulate the fan as they were designed to. I am thrilled. I had packed up all this to go back last night at 10pm before I changed my mind and decided to try and beat Alexa at her own game in spite of her telling me it wouldn’t work. It’s not the first time she lied to me and I am glad I gave these thermostats another chance. Amazon so far has not contemplated this being used for new installs or out of the ordinary applications. But it will probably work if you are patient. The photo schematic above will probably work for two wire installs that need a third “C” wire installs that need power as well. UPDATE: Subsequent to this review I received my second Amazon Smart Thermostat and found out that the two do not play nicely together. I have two furnaces and zones and we don’t want the same temperatures and schedules in the living room ends and the sleeping zones. I had seen this problem mentioned in another review but was hoping to find a workaround. I named them differently and installed them separately, but they still communicate and coordinate schedules. I can’t even use two different wifi frequencies since this only supports 2.4 ghz while other brands more commonly use 2.4 and 5 ghz frequencies.  I am sad that these will have to go back in favor of another more expensive brand. Most people don’t have zones or multiple furnaces so this won’t normally be a problem. But I thought I should update for those that do."
5.0,"Sleek and simple, not for fancy-pants types",
2.0,"Short Cycling, Not Impressed So Far","  Update: RETURNED! Easily one of the worst thermostats I've even owned. Not only short cycled but manually changing the temperature with the buttons had horrible lag and was not intuitive for family members because of the ""minimalist"" display. Bought a Sensi which is awesome and light years ahead of this piece of garbage. My recommendation is to avoid this and save hours of your life.Original: Easy installation. Easy setup. But awful in terms of how quickly it cycles on and off. My previous thermostat would cycle on and off every 30 minutes. The Alexa Thermostat is cycling every 10 minutes. There is no way to adjust the swing value to lengthen the temperature swings allowed before it turns on or off.  The swing value must be less than 1 degree because the temperature never moves off of 74 degrees, yet cycles on and off 5-7 times per hour. Honeywell please upgrade the firmware  to add this much needed functionality!"
4.0,"It has FAN only mode. Works as expected, A few glaring flaws",
1.0,"Disappointing. No manual, poor instructions, no help.","  Like most early adopters I purchased this prior to it's release and checked first to ensure I had the c-wire and didn't require an adaptor. Using the prompts for the set up on Alexa app is vague and unclear but more importantly, it's inconsistent. While the item site shows I'm okay and don't require a c-wire, the app says otherwise. Finally I called my cousin who works in HVAC but after an hour I released him from our video call because well, the device is simply not turning on. I put my old thermostat back in and boom, ac is working. Why release an item with no real instructions or troubleshooting websites to assist. It's like you intentionally set yourself for poor early reviews. Returning the item. Inadequate instructions, no manual, no quick customer service support. You played yourself Amazon."
4.0,Scheduler clock not in sync with local time.,"  Got the unit yesterday and installed it. After trying multiple times to set it up with my iPhone 12 and iPad Pro, setup kept failing reporting Bluetooth error. I was ready to remove it and re-install my old thermostat, then I decided to try the setup with an old iPhone 6S.  After running setup with the iPhone 6S, setup was able to complete.  Also, make sure the network to which your phone is attached before setup is 2.4 Ghz. The unit only supports 2.4Ghz.After completing setup and setting up a schedule, I was expecting the unit to bring the house up to 74 degrees at 6:00 am. At 6:00 am, nothing. It wasn’t until 8:00am that the heat kicked on.  This leads me to believe that the unit is on the wrong time zone but there is no way to set the time or time zone on the unit. I hope they have an update for this soon."
